recipe_name,ingredients,cooking_instructions
Creamy White Chili,"1 lb chicken breast, diced
1 onion, chopped
2 cloves garlic, minced
2 cans (15 oz each) white beans, drained and rinsed
1 can (4 oz) chopped green chilies
2 cups chicken broth
1 cup heavy cream
1 tsp cumin
1 tsp oregano
Salt and pepper to taste
Optional toppings: shredded cheese, sour cream, chopped cilantro, sliced jalapenos","In a large pot, cook diced chicken breast until no longer pink.
Add chopped onion and minced garlic, cook until onion is translucent.
Stir in white beans, chopped green chilies, chicken broth, heavy cream, cumin, and oregano.                                                                                                                  Simmer for 20-30 minutes, stirring occasionally.
Season with salt and pepper to taste.
Serve hot with optional toppings."
Best Ever Banana Bread,"2-3 ripe bananas, mashed
1/3 cup melted butter
3/4 cup sugar
1 egg, beaten
1 tsp vanilla extract
1 tsp baking soda
Pinch of salt
1 1/2 cups all-purpose flour","1. Preheat oven to 350°F (175°C). Grease a 9x5 inch loaf pan.
2. In a mixing bowl, combine mashed bananas, melted butter, sugar, beaten egg, and vanilla extract.
3. Mix in baking soda and salt.
4. Add flour and stir until just combined.
5. Pour batter into prepared loaf pan.
6. Bake for 60-65 minutes, or until a toothpick inserted into the center comes out clean.
7. Allow to cool before slicing and serving."
Cheeseburger Soup,"1 lb ground beef
1 onion, chopped
2 cloves garlic, minced
3 cups chicken broth
2 cups diced potatoes
1 cup shredded carrots
1 cup diced celery
1 can (14.5 oz) diced tomatoes
2 cups milk
1/4 cup all-purpose flour
2 cups shredded cheddar cheese
Salt and pepper to taste
Optional toppings: chopped green onions, cooked and crumbled bacon, shredded cheese","1. In a large pot, brown ground beef over medium heat.
2. Add chopped onion and minced garlic, cook until onion is translucent.
3. Stir in chicken broth, diced potatoes, shredded carrots, diced celery, and diced tomatoes.
4. Bring to a boil, then reduce heat and simmer until vegetables are tender, about 15-20 minutes.
5. In a separate bowl, whisk together milk and flour until smooth.
6. Gradually stir milk mixture into the soup, stirring constantly.
7. Continue to cook and stir until soup has thickened.
8. Stir in shredded cheddar cheese until melted.
9. Season with salt and pepper to taste.
10. Serve hot with optional toppings."
Amish Breakfast Casserole,"6 slices bread, cubed
1 lb bulk pork sausage, cooked and crumbled
2 cups shredded cheddar cheese
6 eggs
2 cups milk
1 tsp mustard powder
Salt and pepper to taste
Optional add-ins: diced bell peppers, sliced mushrooms, chopped onions","1. Preheat oven to 350°F (175°C). Grease a 9x13 inch baking dish.
2. Place cubed bread in the bottom of the prepared baking dish.
3. Sprinkle cooked and crumbled sausage evenly over the bread.
4. Top with shredded cheddar cheese.
5. In a mixing bowl, whisk together eggs, milk, mustard powder, salt, and pepper.
6. Pour egg mixture evenly over the sausage and cheese.
7. If using optional add-ins, sprinkle them over the top.
8. Bake for 45-55 minutes, or until eggs are set and the top is golden brown.
9. Allow to cool slightly before slicing and serving."
Pumpkin Spice Cupcakes with Cream Cheese Frosting,"For the cupcakes:
1 1/2 cups all-purpose flour
1 tsp baking powder
1/2 tsp baking soda
1/2 tsp salt
1 tsp ground cinnamon
1/2 tsp ground ginger
1/4 tsp ground nutmeg
1/4 tsp ground cloves
1 cup pumpkin puree
1/2 cup vegetable oil
2 large eggs
1 cup granulated sugar
1/2 cup packed light brown sugar
For the cream cheese frosting:
8 oz cream cheese, softened
1/4 cup unsalted butter, softened
2 cups powdered sugar
1 tsp vanilla extract","For the cupcakes:
1. Preheat oven to 350°F (175°C). Line a muffin tin with cupcake liners.
2. In a medium bowl, whisk together flour, baking powder, baking soda, salt, cinnamon, ginger, nutmeg, and cloves.
3. In a separate large bowl, whisk together pumpkin puree, vegetable oil, eggs, granulated sugar, and brown sugar until smooth.
4. Gradually whisk dry ingredients into wet ingredients until just combined.
5. Divide batter evenly among cupcake liners, filling each about 2/3 full.
6. Bake for 18-20 minutes, or until a toothpick inserted into the center comes out clean.
7. Allow cupcakes to cool in the pan for 5 minutes, then transfer to a wire rack to cool completely.
For the cream cheese frosting:
1. In a mixing bowl, beat together softened cream cheese and butter until smooth and creamy.
2. Gradually add powdered sugar and vanilla extract, beating until smooth and fluffy.
3. Once cupcakes are completely cooled, frost with cream cheese frosting.
4. Optionally, sprinkle with additional ground cinnamon or nutmeg for garnish."
Favorite Chicken Potpie,"For the filling:
1 lb boneless, skinless chicken breasts, diced
2 tbsp olive oil
1 onion, chopped
2 cloves garlic, minced
2 cups diced potatoes
1 cup diced carrots
1 cup frozen peas
1/4 cup all-purpose flour
2 cups chicken broth
1 cup milk
1 tsp dried thyme
Salt and pepper to taste
For the crust:
1 1/2 cups all-purpose flour
1/2 tsp salt
1/2 cup unsalted butter, cold and cubed
1/4 cup ice water","For the filling:
1. Preheat oven to 400°F (200°C).
2. In a large skillet, heat olive oil over medium heat.
3. Add diced chicken and cook until no longer pink. Remove chicken from skillet and set aside.
4. In the same skillet, add chopped onion and minced garlic. Cook until onion is translucent.
5. Stir in diced potatoes and carrots, cooking until slightly softened.
6. Add frozen peas and cooked chicken back to the skillet.
7. Sprinkle flour over the mixture and stir to coat evenly.
8. Gradually stir in chicken broth and milk, stirring constantly.
9. Add dried thyme, salt, and pepper. Bring mixture to a simmer and cook until thickened.
10. Pour filling into a 9-inch pie dish.
For the crust:
1. In a mixing bowl, combine flour and salt.
2. Cut in cold cubed butter until mixture resembles coarse crumbs.
3. Gradually add ice water, stirring until dough comes together.
4. Roll out dough on a floured surface to fit the size of the pie dish.
5. Place rolled dough over the filling in the pie dish, sealing the edges.
6. Cut slits in the top crust for steam to escape.
7. Bake for 30-35 minutes, or until crust is golden brown.
8. Allow to cool slightly before serving."
Flavorful Chicken Fajitas,"1 lb chicken breast, sliced
2 tbsp olive oil
1 onion, sliced
1 bell pepper, sliced
1 tsp chili powder
1/2 tsp paprika
1/2 tsp cumin
1/4 tsp garlic powder
1/4 tsp onion powder
Salt and pepper to taste
Flour tortillas
Optional toppings: shredded cheese, sour cream, guacamole, salsa","1. Heat olive oil in a large skillet over medium-high heat.
2. Add sliced chicken breast to the skillet, cooking until browned and no longer pink.
3. Remove chicken from skillet and set aside.
4. In the same skillet, add sliced onion and bell pepper. Cook until softened and slightly caramelized.
5. Return cooked chicken to the skillet.
6. Sprinkle chili powder, paprika, cumin, garlic powder, onion powder, salt, and pepper over the chicken and vegetables. Stir to combine.
7. Cook for an additional 2-3 minutes, allowing flavors to meld.
8. Serve hot with flour tortillas and optional toppings."
Apple Pie,"For the crust:
2 1/2 cups all-purpose flour
1 tsp salt
1 tsp granulated sugar
1 cup unsalted butter, cold and cubed
1/4 cup ice water
For the filling:
6 cups thinly sliced peeled apples (such as Granny Smith)
3/4 cup granulated sugar
2 tbsp all-purpose flour
1 tsp ground cinnamon
1/4 tsp ground nutmeg
1/4 tsp salt
1 tbsp lemon juice
2 tbsp unsalted butter, cut into small pieces
1 egg, beaten (for egg wash)
2 tbsp granulated sugar (for sprinkling)","For the crust:
1. In a mixing bowl, combine flour, salt, and granulated sugar.
2. Cut in cold cubed butter until mixture resembles coarse crumbs.
3. Gradually add ice water, stirring until dough comes together.
4. Divide dough in half, shape into discs, and wrap in plastic wrap. Refrigerate for at least 1 hour before using.
For the filling:
1. In a large mixing bowl, combine thinly sliced peeled apples, granulated sugar, flour, cinnamon, nutmeg, salt, and lemon juice. Toss until apples are evenly coated.
2. Preheat oven to 400°F (200°C). Roll out one disc of chilled pie dough on a lightly floured surface to fit a 9-inch pie dish.
3. Transfer rolled dough to pie dish and trim excess dough from the edges.
4. Pour apple filling into the prepared pie crust, spreading evenly.
5. Dot the top of the filling with small pieces of butter.
6. Roll out the second disc of chilled pie dough and place over the filling. Trim and crimp the edges to seal.
7. Cut slits in the top crust to allow steam to escape.
8. Brush the top crust with beaten egg and sprinkle with granulated sugar.
9. Place pie on a baking sheet to catch any drips and bake for 45-50 minutes, or until crust is golden brown and filling is bubbly.
10. Allow pie to cool completely before slicing and serving."
Enchilada Casser-Ole!,"1 lb ground beef
1 onion, chopped
2 cloves garlic, minced
1 can (10 oz) red enchilada sauce
1 can (4 oz) chopped green chilies
1 can (15 oz) black beans, drained and rinsed
1 cup frozen corn kernels
2 cups shredded cheddar cheese
12 corn tortillas
Salt and pepper to taste
Optional toppings: chopped green onions, sliced black olives, sour cream","1. Preheat oven to 375°F (190°C). Grease a 9x13 inch baking dish.
2. In a large skillet, brown ground beef over medium heat.
3. Add chopped onion and minced garlic, cooking until onion is translucent.
4. Stir in red enchilada sauce, chopped green chilies, black beans, and frozen corn kernels. Season with salt and pepper to taste.
5. Spread a thin layer of the beef mixture on the bottom of the prepared baking dish.
6. Layer 6 corn tortillas over the beef mixture, overlapping as needed.
7. Spread half of the remaining beef mixture over the tortillas.
8. Sprinkle 1 cup of shredded cheddar cheese over the beef mixture.
9. Repeat with another layer of 6 corn tortillas, remaining beef mixture, and remaining shredded cheddar cheese.
10. Cover with foil and bake for 20-25 minutes, or until heated through and cheese is melted.
11. Remove foil and bake for an additional 5 minutes to lightly brown the cheese.
12. Serve hot with optional toppings."
Zucchini Pizza Casserole,"2 cups shredded zucchini
1/2 tsp salt
1/2 cup all-purpose flour
1/2 cup grated Parmesan cheese
2 tsp baking powder
2 large eggs, beaten
1/2 cup shredded mozzarella cheese
1/2 cup pizza sauce
1/4 cup sliced pepperoni
1/4 cup sliced black olives
1/4 cup chopped green bell pepper
1/4 cup sliced mushrooms","1. Preheat oven to 400°F (200°C). Grease a 9x13 inch baking dish.
2. Place shredded zucchini in a colander and sprinkle with salt. Let sit for 10 minutes, then squeeze out excess moisture.
3. In a mixing bowl, combine shredded zucchini, flour, grated Parmesan cheese, baking powder, and beaten eggs until well mixed.
4. Spread zucchini mixture evenly in the prepared baking dish.
5. Bake for 20-25 minutes, or until golden brown and set.
6. Remove from oven and spread pizza sauce over the baked zucchini crust.
7. Sprinkle shredded mozzarella cheese over the sauce.
8. Top with sliced pepperoni, black olives, chopped green bell pepper, and sliced mushrooms.
9. Return to oven and bake for an additional 10-15 minutes, or until cheese is melted and toppings are heated through.
10. Allow to cool slightly before slicing and serving."
Traditional Lasagna,"For the meat sauce:
1 lb ground beef
1 onion, chopped
2 cloves garlic, minced
1 can (14.5 oz) crushed tomatoes
1 can (6 oz) tomato paste
1/2 cup water
2 tsp dried basil
1 tsp dried oregano
1/2 tsp salt
1/4 tsp black pepper
For the cheese filling:
15 oz ricotta cheese
1/2 cup grated Parmesan cheese
1 large egg
1 tbsp chopped fresh parsley
Salt and pepper to taste
For assembling:
12 lasagna noodles, cooked according to package instructions
2 cups shredded mozzarella cheese
1/4 cup grated Parmesan cheese","For the meat sauce:
1. In a large skillet, brown ground beef over medium heat.
2. Add chopped onion and minced garlic, cooking until onion is translucent.
3. Stir in crushed tomatoes, tomato paste, water, dried basil, dried oregano, salt, and black pepper.
4. Simmer for 15-20 minutes, stirring occasionally.
For the cheese filling:
1. In a mixing bowl, combine ricotta cheese, grated Parmesan cheese, egg, chopped fresh parsley, salt, and pepper until well mixed.
For assembling:
1. Preheat oven to 375°F (190°C). Grease a 9x13 inch baking dish.
2. Spread a thin layer of meat sauce on the bottom of the prepared baking dish.
3. Arrange cooked lasagna noodles over the meat sauce.
4. Spread half of the cheese filling over the noodles.
5. Sprinkle 1 cup of shredded mozzarella cheese over the cheese filling.
6. Repeat layers with remaining noodles, meat sauce, cheese filling, and shredded mozzarella cheese.
7. Sprinkle grated Parmesan cheese over the top layer.
8. Cover with foil and bake for 25 minutes.
9. Remove foil and bake for an additional 25 minutes, or until bubbly and golden brown.
10. Allow to cool slightly before slicing and serving."
Cauliflower Soup,"1 head cauliflower, chopped
1 onion, chopped
2 cloves garlic, minced
4 cups vegetable broth
1 cup milk
1/4 cup all-purpose flour
1/4 cup unsalted butter
1/2 cup shredded cheddar cheese
Salt and pepper to taste
Optional toppings: crispy bacon, chopped chives, additional shredded cheddar cheese","1. In a large pot, melt butter over medium heat.
2. Add chopped onion and minced garlic, cooking until onion is translucent.
3. Stir in chopped cauliflower and vegetable broth. Bring to a boil, then reduce heat and simmer until cauliflower is tender.
4. In a separate bowl, whisk together milk and flour until smooth.
5. Gradually stir milk mixture into the soup, stirring constantly.
6. Cook and stir until soup has thickened.
7. Stir in shredded cheddar cheese until melted.
8. Season with salt and pepper to taste.
9. Using an immersion blender or transferring to a blender in batches, blend soup until smooth.
10. Serve hot with optional toppings."
Basic Homemade Bread,"4 cups all-purpose flour
2 1/4 tsp active dry yeast
1 1/2 cups warm water
1 tbsp sugar
1 tsp salt
2 tbsp olive oil","1. In a large mixing bowl, dissolve sugar in warm water.
2. Sprinkle yeast over the water and let sit for 5-10 minutes, or until foamy.
3. Stir in salt and olive oil.
4. Gradually add flour, stirring until dough forms.
5. Turn dough out onto a floured surface and knead for 8-10 minutes, or until smooth and elastic.
6. Place dough in a greased bowl, turning to coat.
7. Cover with a clean kitchen towel and let rise in a warm place for 1 hour, or until doubled in size.
8. Punch down dough and shape into a loaf.
9. Place loaf in a greased 9x5 inch loaf pan.
10. Cover and let rise for an additional 30 minutes.
11. Preheat oven to 375°F (190°C).
12. Bake bread for 30-35 minutes, or until golden brown and sounds hollow when tapped on the bottom.
13. Remove bread from pan and let cool on a wire rack before slicing."
Zucchini Cupcake,"For the cupcakes:
1 1/2 cups all-purpose flour
1/2 tsp baking soda
1/2 tsp baking powder
1/4 tsp salt
1 tsp ground cinnamon
1/4 tsp ground nutmeg
1/4 cup unsalted butter, softened
1/2 cup granulated sugar
1/2 cup packed brown sugar
1 large egg
1/2 cup vegetable oil
1 tsp vanilla extract
1 1/2 cups grated zucchini
For the cream cheese frosting:
4 oz cream cheese, softened
1/4 cup unsalted butter, softened
2 cups powdered sugar
1 tsp vanilla extract","For the cupcakes:
1. Preheat oven to 350°F (175°C). Line a muffin tin with cupcake liners.
2. In a mixing bowl, whisk together flour, baking soda, baking powder, salt, cinnamon, and nutmeg.
3. In a separate large bowl, cream together softened butter, granulated sugar, and brown sugar until light and fluffy.
4. Beat in egg, vegetable oil, and vanilla extract until well combined.
5. Gradually add dry ingredients to wet ingredients, mixing until just combined.
6. Fold in grated zucchini until evenly distributed.
7. Divide batter evenly among cupcake liners, filling each about 2/3 full.
8. Bake for 18-20 minutes, or until a toothpick inserted into the center comes out clean.
9. Allow cupcakes to cool in the pan for 5 minutes, then transfer to a wire rack to cool completely.
For the cream cheese frosting:
1. In a mixing bowl, beat together softened cream cheese and butter until smooth and creamy.
2. Gradually add powdered sugar and vanilla extract, beating until smooth and fluffy.
3. Once cupcakes are completely cooled, frost with cream cheese frosting.
4. Optionally, garnish with grated zucchini or a sprinkle of ground cinnamon for decoration."
Li’l Cheddar Meat Loaves,"1 lb ground beef
1/2 cup breadcrumbs
1/2 cup shredded cheddar cheese
1/4 cup ketchup
1/4 cup finely chopped onion
1 large egg, beaten
1/2 tsp garlic powder
1/2 tsp onion powder
1/2 tsp dried thyme
Salt and pepper to taste
For the glaze:
1/4 cup ketchup
2 tbsp brown sugar
1 tbsp apple cider vinegar","1. Preheat oven to 350°F (175°C). Grease a muffin tin or line with parchment paper liners.
2. In a large mixing bowl, combine ground beef, breadcrumbs, shredded cheddar cheese, ketchup, chopped onion, beaten egg, garlic powder, onion powder, dried thyme, salt, and pepper. Mix until well combined.
3. Divide mixture evenly among muffin cups, pressing down to form mini loaves.
4. In a small bowl, whisk together ketchup, brown sugar, and apple cider vinegar to make the glaze.
5. Brush glaze over the tops of the mini meat loaves.
6. Bake for 25-30 minutes, or until cooked through and internal temperature reaches 160°F (71°C).
7. Allow to cool for a few minutes before serving."
Rustic Italian Tortellini Soup,"1 pound Italian turkey sausage links, casings removed
1 medium onion, chopped
6 cups reduced-sodium chicken broth
1 can (14-1/2 ounces) diced tomatoes, undrained
1 package (9 ounces) refrigerated cheese tortellini
1 package (6 ounces) fresh baby spinach, coarsely chopped
2 tablespoons minced fresh basil or 2 teaspoons dried basil
1/4 teaspoon pepper
1/2 cup shredded Parmesan cheese","1. Crumble sausage into a Dutch oven; add onion.
2. Cook and stir over medium heat until meat is no longer pink.
3. Add broth and tomatoes; bring to a boil.
4. Reduce heat; simmer, uncovered, for 30 minutes.
5. Return to a boil; add tortellini.
6. Reduce heat; simmer, uncovered, for 5-8 minutes or until pasta is tender.
7. Stir in spinach, basil, and pepper; cook 2 minutes longer or until spinach is wilted.
8. Serve with cheese."
Fluffy Key Lime Pie,"1-1/4 cups graham cracker crumbs
1/4 cup sugar
1/3 cup butter, melted
FILLING:
3 egg yolks
1 can (14 ounces) sweetened condensed milk
1/2 cup key lime juice
TOPPING:
1 cup heavy whipping cream
3 tablespoons confectioners' sugar
Additional graham cracker crumbs and lime slices, optional","1. Preheat oven to 350°F (175°C).
2. In a small bowl, combine cracker crumbs and sugar; stir in butter.
3. Press onto the bottom and up the sides of a greased 9-in. pie plate.
4. Bake 10-12 minutes or until lightly browned.
5. Cool on a wire rack.
6. For filling, in a large bowl, beat yolks until slightly thickened.
7. Gradually beat in milk and lime juice.
8. Pour into crust.
9. Bake 15-20 minutes or until set.
10. Cool on a wire rack 1 hour.
11. Refrigerate at least 3 hours before serving.
12. In a large bowl, beat cream until it begins to thicken.
13. Add confectioners' sugar; beat until soft peaks form.
14. Spread or pipe over pie.
15. If desired, sprinkle with additional crumbs and garnish with lime slices."
Stuffed Pepper Soup,"1-1/2 pounds ground beef
1 cup chopped green pepper
1/2 cup chopped onion
3 cups water
1 can (28 ounces) crushed tomatoes, undrained
1 can (10-3/4 ounces) condensed tomato soup, undiluted
1 can (10 ounces) diced tomatoes and green chilies, undrained
2 teaspoons sugar
2 teaspoons beef bouillon granules
1/2 teaspoon salt
1/4 teaspoon pepper
1 cup cooked long grain rice","1. In a Dutch oven, cook beef, green pepper, and onion over medium heat until meat is no longer pink; drain.
2. Stir in the water, tomatoes, soup, tomatoes and chilies, sugar, bouillon, salt, and pepper.
3. Bring to a boil.
4. Reduce heat; cover and simmer for 30 minutes.
5. Stir in rice; heat through."
Moist Chocolate Cake,"2 cups all-purpose flour
2 cups sugar
1/2 cup baking cocoa
1-1/2 teaspoons baking soda
1-1/2 teaspoons baking powder
1 teaspoon salt
2 large eggs, room temperature
1 cup whole milk
1/2 cup canola oil
2 teaspoons vanilla extract
1 cup boiling water
CHOCOLATE FROSTING:
1/2 cup butter, cubed
4 cups confectioners' sugar
1/2 cup baking cocoa
1/4 cup whole milk
1 teaspoon vanilla extract","1. Preheat oven to 350°F (175°C). Grease and flour two 9-in. round baking pans.
2. In a large bowl, whisk the first six ingredients.
3. Add eggs, milk, oil, and vanilla; beat on medium speed 2 minutes.
4. Stir in water (batter will be thin).
5. Transfer to prepared pans. Bake 30-35 minutes or until a toothpick inserted in center comes out clean.
6. Cool in pans 10 minutes before removing to wire racks to cool completely.
7. For frosting, in a large bowl, beat butter until creamy.
8. Beat in confectioners' sugar, cocoa, milk, and vanilla until smooth.
9. Spread frosting between layers and over top and sides of cake."
Mom’s Meat Loaf,#N/A,"1. Preheat oven to 350°F (175°C). In a large bowl, combine the first seven ingredients.
2. Transfer to an ungreased 9x5-in. loaf pan.
3. Combine topping ingredients; spread over loaf.
4. Bake 60-65 minutes or until no pink remains and a thermometer reads 160°. Drain.
5. Let stand 10 minutes before slicing."
Pineapple Orange Cake,"1 package yellow cake mix
1 can (11 ounces) mandarin oranges, undrained
4 large eggs
1/4 cup vegetable oil
1 can (8 ounces) crushed pineapple, undrained
1 package (3.4 ounces) instant vanilla pudding mix
1 cup cold milk
1 carton (8 ounces) frozen whipped topping, thawed","1. In a large bowl, combine cake mix, oranges with juice, eggs, and oil; beat on low speed for 2 minutes.
2. Pour into a greased 13x9-inch baking pan.
3. Bake at 350°F for 25-30 minutes or until a toothpick inserted in the center comes out clean.
4. Cool completely on a wire rack.
5. For the topping, in a large bowl, beat pineapple with juice and pudding mix on low speed for 2 minutes. Gradually beat in milk. Fold in whipped topping. Spread over cake.
6. Refrigerate for at least 1 hour before serving."
Baked Spaghetti,"1 package (16 ounces) spaghetti
1 pound ground beef
1 jar (26 ounces) spaghetti sauce
2 cups shredded mozzarella cheese
1/4 cup grated Parmesan cheese","1. Cook spaghetti according to package directions; drain.
2. In a skillet, cook beef over medium heat until no longer pink; drain.
3. Stir in spaghetti sauce and cooked spaghetti.
4. Transfer to a greased 13x9-inch baking dish.
5. Sprinkle with cheeses.
6. Bake, uncovered, at 350°F for 30-35 minutes or until heated through and cheese is melted."
Buttery Cornbread,"1 cup all-purpose flour
1 cup cornmeal
1/4 cup sugar
4 teaspoons baking powder
1/2 teaspoon salt
2 large eggs
1 cup 2% milk
1/2 cup butter, melted","1. In a large bowl, combine the flour, cornmeal, sugar, baking powder, and salt.
2. In another bowl, whisk the eggs, milk, and melted butter.
3. Stir into dry ingredients just until moistened.
4. Pour into a greased 9-inch square baking pan.
5. Bake at 425°F for 20-25 minutes or until a toothpick inserted in the center comes out clean.
6. Serve warm."
Sandy’s Chocolate Cake,"2 cups all-purpose flour
2 cups sugar
3/4 cup baking cocoa
2 teaspoons baking soda
1 teaspoon baking powder
1/2 teaspoon salt
2 large eggs
1 cup strong brewed coffee, cooled
1 cup buttermilk
1/2 cup canola oil
1 teaspoon vanilla extract","1. Preheat oven to 350°F. Grease and flour a 13x9-inch baking pan.
2. In a large bowl, combine the flour, sugar, cocoa, baking soda, baking powder, and salt.
3. Add eggs, coffee, buttermilk, oil, and vanilla; beat on medium speed for 2 minutes.
4. Pour into prepared pan.
5. Bake for 35-40 minutes or until a toothpick inserted in the center comes out clean.
6. Cool completely on a wire rack before frosting."
Baked Mushroom Chicken,"4 boneless skinless chicken breast halves (6 ounces each)
1/2 teaspoon salt
1/4 teaspoon pepper
1 can (10-3/4 ounces) condensed cream of mushroom soup, undiluted
1/2 cup water
1/4 cup white wine or chicken broth
1 cup sliced fresh mushrooms","1. Place chicken in a greased 13x9-inch baking dish; sprinkle with salt and pepper.
2. In a small bowl, combine the soup, water, and wine or broth; pour over chicken.
3. Top with mushrooms.
4. Bake, uncovered, at 375°F for 30-35 minutes or until a thermometer reads 170°F."
Hot Milk Cake,"4 large eggs
2 cups sugar
1 teaspoon vanilla extract
2-1/4 cups all-purpose flour
2-1/4 teaspoons baking powder
1/4 teaspoon salt
1 cup 2% milk
10 tablespoons butter","1. In a large bowl, beat eggs on high speed for 5 minutes or until thick and lemon-colored.
2. Gradually add sugar, beating until mixture is light and fluffy. Beat in vanilla.
3. Combine flour, baking powder, and salt; gradually add to batter just until combined.
4. In a small saucepan, heat milk and butter just until butter is melted.
5. Gradually add to batter; beat just until combined.
6. Pour into a greased 13x9-inch baking pan.
7. Bake at 350°F for 30-35 minutes or until a toothpick inserted in the center comes out clean.
8. Cool on a wire rack."
Macaroni Coleslaw,"1 package (16 ounces) elbow macaroni
4 cups coleslaw mix
1/2 cup chopped onion
1 cup mayonnaise
1/4 cup sugar
1/4 cup cider vinegar
1/4 cup milk
1/2 teaspoon salt
1/4 teaspoon pepper","1. Cook macaroni according to package directions; drain and rinse in cold water.
2. In a large bowl, combine the macaroni, coleslaw mix, and onion.
3. In a small bowl, whisk the mayonnaise, sugar, vinegar, milk, salt, and pepper.
4. Pour over macaroni mixture and toss to coat.
5. Cover and refrigerate for at least 2 hours before serving."
